OSD.latitude,OSD.longitude,OSD.altitude [ft],OSD.pitch,OSD.yaw [360],GIMBAL.pitch
13.1939175879744,-59.6414230935188,23,9.1,231.7,-31.7
13.1939179896958,-59.6414224243209,23,8.9,231.8,-31.7
13.1939184349545,-59.6414218115435,23,8.4,231.8,-31.7
13.1939188715605,-59.6414212606422,23,7.8,231.7,-31.7
13.1939193994902,-59.6414205871502,23,6.7,231.7,-31.7
13.1939199454447,-59.6414198556186,23,6,231.7,-31.7
13.1939205805127,-59.6414190138856,23,5.9,231.8,-31.7
13.1939210242978,-59.6414182525422,23,4.8,231.8,-31.7
13.1939217537907,-59.6414172491501,23,2,231.8,-31.7
13.1939223780128,-59.6414163402262,23,0.4,231.8,-31.7
13.1939230319281,-59.641415425495,23,-2.1,231.7,-31.7
13.1939235193532,-59.6414147143775,23,-8,231.7,-31.7
13.1939240658218,-59.6414139058,23,-9.2,231.8,-31.7
13.1939243248007,-59.641413672832,23,-7.8,231.8,-31.7
13.1939245473015,-59.6414133370539,23,-5.9,231.7,-31.7
13.1939248074626,-59.6414131328065,23,-4.4,231.7,-31.7
13.1939249862377,-59.6414129652342,23,-3.5,231.7,-31.7
13.1939249681101,-59.6414127879124,23,-2.7,231.7,-31.7
13.1939250052221,-59.6414127377217,23,-2,231.7,-31.7
13.1939251086937,-59.6414126177004,23,-1.6,231.8,-31.7
13.1939251162498,-59.6414125621246,23,-1.3,231.8,-31.7
13.1939252105547,-59.6414125860232,23,-0.9,231.8,-31.7
13.1939252286139,-59.6414126077045,23,-0.8,231.8,-31.7
13.193925329087,-59.6414126384314,23,-0.5,231.8,-31.7
13.1939253712022,-59.6414127004834,23,-0.3,231.7,-31.7
13.1939254327471,-59.6414126042552,23,-0.1,231.7,-31.7
13.1939254634511,-59.6414126063318,23,-0.1,231.8,-31.7
13.1939253849778,-59.6414125539237,23,-0.3,231.7,-31.7
13.1939253685635,-59.6414125227393,23,-0.5,231.7,-31.7
13.1939253893127,-59.6414124756106,23,-0.3,231.7,-31.7
13.1939253872052,-59.641412473886,23,-0.2,231.7,-31.7
